Sr. No.,College Name,University Name,District,Taluka,Exclusively in Womens Colleges,College Types,"(Report no 5)
Whether Minority Institution (Yes/No)","Linguistic/
Religious_Type",JD Region,Correspondence Address,Email,Contact Phone 1,Contact Phone 2,Mobile,Principal Name,College Type
102,Kapur Inc College of Arts & Science,Nagpur University,Aurangabad,Karjat,Girls Only,Urban,No,Select,Pune,"00, Sawhney Path, Deoghar-369457",kartik79@zacharia-srinivas.info,04687233018,07015181290,06242052279,Dr. Uthkarsh Dugar,Non-Aided
103,Dalal Inc College of Arts & Science,Savitribai Phule Pune University,Mumbai,Haveli,Girls Only,Rural,Yes,Select,Solapur,"H.No. 27, Sani Path, Rohtak 178959",aarushwali@sami.com,6074549508,+910785160689,+914747505122,Dr. Riya Lalla,Non-Aided
104,Thakur and Sons College of Arts & Science,Mumbai University,Pune,Karjat,Girls Only,Urban,Yes,Select,Nashik,"H.No. 96, Talwar Zila, Raebareli-833009",fmadan@walia.org,02284049743,9544614254,+916074770717,Dr. Kiaan Gour,Non-Aided
105,Buch and Sons College of Arts & Science,North Maharashtra University,Nashik,Andheri,Girls Only,Rural,No,Select,Nagpur,"H.No. 903, Kata Marg, Buxar-243420",fkara@bhatnagar.com,03772620527,08141731848,1413188736,Dr. Chirag Mandal,Aided
106,Ravi LLC College of Arts & Science,Mumbai University,Nashik,Dharavi,Girls Only,Urban,No,Select,Solapur,"051, Sood Zila, Bahraich 827234",baradkavya@srivastava-bajaj.com,03469894474,00604790748,00888284986,Dr. Hazel Bhatti,Non-Aided
107,Johal-Divan College of Arts & Science,Savitribai Phule Pune University,Mumbai,Karjat,Girls Only,Rural,No,Select,Solapur,"79/397, Lata Street, Agra 830111",eshanikara@roy.biz,+917252524684,+915372960339,+912821976610,Dr. Rohan Yohannan,Non-Aided
108,"Sengupta, Sami and Deshpande College of Arts & Science",Dr. Babasaheb Ambedkar Marathwada University,Aurangabad,Karjat,Co-Education,Urban,Yes,Select,Solapur,"56/303, D’Alia Nagar, Tumkur 517111",reyansh76@sarma-kannan.info,+916640306962,4628125901,07795023827,Dr. Vedika Sood,Non-Aided
109,Behl PLC College of Arts & Science,Dr. Babasaheb Ambedkar Marathwada University,Nashik,Dharavi,Co-Education,Urban,Yes,Select,Nagpur,"55, Chana Path, Thiruvananthapuram-105343",krish88@khalsa.biz,03456489561,7126686096,5814754699,Dr. Yakshit Hans,Non-Aided
110,Thaman and Sons College of Arts & Science,Dr. Babasaheb Ambedkar Marathwada University,Nashik,Haveli,Co-Education,Rural,No,Select,Solapur,"H.No. 814, Kapadia Road, Jamnagar-987373",rajagopalantiya@bail-dey.biz,06092711144,0309665404,+910497245412,Dr. Devansh Borah,Aided
111,"Divan, Vala and Tandon College of Arts & Science",Nagpur University,Nagpur,Andheri,Co-Education,Urban,Yes,Select,Nashik,"684, Buch Street, Gopalpur-048705",aayush16@sankar.com,+917902870053,+918380162894,06066697975,Dr. Miraya Lal,Non-Aided
112,Kibe LLC College of Arts & Science,Mumbai University,Aurangabad,Haveli,Girls Only,Rural,No,Select,Solapur,"00/205, Kashyap Chowk, North Dumdum-229922",aniruddh45@sarkar-rastogi.com,1573098188,9918317958,0701127137,Dr. Mohanlal Dua,Aided
113,"Karpe, Bala and Savant College of Arts & Science",Dr. Babasaheb Ambedkar Marathwada University,Mumbai,Karjat,Girls Only,Rural,Yes,Select,Mumbai,"22, Roy Chowk, Bikaner 008617",wasonyashvi@som.com,+918573334737,00967351800,07259098405,Dr. Kismat Lanka,Non-Aided
114,Bhakta Group College of Arts & Science,Shivaji University,Solapur,Dharavi,Co-Education,Rural,No,Select,Mumbai,"H.No. 028, Roy Path, Hospet 388411",kapurdhanuk@bhatnagar-bhardwaj.info,05690014279,+910742108067,+915216195488,Dr. Yasmin Gola,Aided
115,"Bhargava, Sankaran and Suri College of Arts & Science",Dr. Babasaheb Ambedkar Marathwada University,Solapur,Dharavi,Co-Education,Rural,No,Select,Pune,"20/07, Bose Chowk, Ambattur-771229",tsabharwal@desai-dass.com,02946721375,+917936431693,2351041494,Dr. Vidur Varkey,Aided
116,Saxena-Loke College of Arts & Science,Shivaji University,Solapur,Karjat,Co-Education,Rural,No,Select,Mumbai,"273, Hora Nagar, Salem 225472",hansh89@amble-bali.org,7346453512,09908794720,+912568647862,Dr. Saira Kurian,Aided
117,Kuruvilla Ltd College of Arts & Science,Savitribai Phule Pune University,Aurangabad,Haveli,Co-Education,Rural,No,Select,Mumbai,"H.No. 15, Ganesan Ganj, Chandrapur-941452",farhanloke@mahajan.org,2606024124,+910685775582,8315790823,Dr. Ojas Bath,Non-Aided
118,"Wadhwa, Ramachandran and Kuruvilla College of Arts & Science",North Maharashtra University,Nagpur,Haveli,Girls Only,Rural,Yes,Select,Mumbai,"28/06, Bail Chowk, Firozabad-953618",harya@amble-dora.net,+916075780274,+917617958021,2208797775,Dr. Yuvaan Iyengar,Aided
119,"Buch, Sur and Gola College of Arts & Science",Mumbai University,Nagpur,Dharavi,Girls Only,Rural,No,Select,Nagpur,"409, Virk Street, Khora -301049",karaemir@sachdeva-aggarwal.com,+919517606585,+917037753986,06001237581,Dr. Zeeshan Sastry,Non-Aided
120,Bedi PLC College of Arts & Science,Savitribai Phule Pune University,Nagpur,Andheri,Co-Education,Rural,Yes,Select,Aurangabad,"194, Sethi Zila, Tadepalligudem 127231",purab76@jaggi.net,03850001822,4247855848,4957881323,Dr. Ira Khanna,Aided
